Date ,series ,OPEN ,close ,HIGH ,LOW ,PREV. CLOSE ,CLOSE_TO_CLOSE,OC_SWING,HL_SWING,OH_SWING,ltp ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
20-Jan-24,EQ,135.4,133.1,136.95,132,135.05,-1.95,-2.3,4.95,5,134,135.04,141.5,44.35,"2,58,61,344","3,49,22,19,467.95","98,528"
19-Jan-24,EQ,130.5,135.05,135.5,128,129.45,5.6,4.55,7.5,1.75,135.1,132.41,141.5,44.35,"8,11,55,018","10,74,59,53,923.00","2,05,453"
18-Jan-24,EQ,128.05,129.45,129.8,121.6,127.4,2.05,1.4,8.2,0,129.15,125.57,141.5,44.35,"11,19,46,831","14,05,67,50,511.05","3,20,740"
17-Jan-24,EQ,132.4,127.4,132.4,126.75,133.55,-6.15,-5,5.65,0.3,128.5,128.27,141.5,44.35,"7,67,80,526","9,84,83,12,035.25","2,72,361"
16-Jan-24,EQ,135,133.55,135.3,131,133.4,0.15,-1.45,4.3,0.3,133.5,133.44,141.5,44.35,"4,70,43,428","6,27,74,02,911.55","1,62,111"
15-Jan-24,EQ,139.55,133.4,139.85,132.85,139.55,-6.15,-6.15,7,1.5,133.75,135.24,141.5,44.35,"5,35,70,266","7,24,46,10,818.90","2,42,915"
12-Jan-24,EQ,140,139.55,141.5,136.8,138.35,1.2,-0.45,4.7,3.7,139.2,139.33,141.5,44.35,"4,55,08,277","6,34,07,05,438.75","1,94,351"
11-Jan-24,EQ,135.3,138.35,139,135.05,134.65,3.7,3.05,3.95,1.9,137.9,137.36,139,44.35,"4,18,09,415","5,74,27,80,998.30","1,27,478"
10-Jan-24,EQ,134.25,134.65,136.15,132.25,134.3,0.35,0.4,3.9,1.8,134.55,134.14,136.15,44.35,"2,99,17,881","4,01,30,82,518.60","87,590"
09-Jan-24,EQ,133.2,134.3,135,132.6,132.85,1.45,1.1,2.4,0,133.85,134.13,135,44.35,"3,38,03,263","4,53,40,16,578.15","1,30,223"
08-Jan-24,EQ,133.65,132.85,133.65,130,133.3,-0.45,-0.8,3.65,3.45,132.1,131.62,134.35,44.35,"3,89,12,423","5,12,15,98,470.95","1,39,247"
05-Jan-24,EQ,130.9,133.3,134.35,128.95,129.75,3.55,2.4,5.4,2.5,133.5,131.64,134.35,44.35,"5,56,08,923","7,32,02,56,796.40","1,97,797"
04-Jan-24,EQ,128.4,129.75,130.9,126.45,127.55,2.2,1.35,4.45,1.45,130.6,128.74,131.75,44.35,"4,52,85,624","5,82,99,74,049.85","1,38,982"
03-Jan-24,EQ,128.8,127.55,130.25,127.1,128.7,-1.15,-1.25,3.15,2.45,127.75,128.86,131.75,44.35,"3,91,01,172","5,03,86,46,149.85","1,15,403"
02-Jan-24,EQ,127,128.7,129.45,125.5,124.5,4.2,1.7,3.95,1.15,129.2,127.69,131.75,44.35,"6,93,95,959","8,86,11,53,036.60","1,89,554"
01-Jan-24,EQ,124.45,124.5,125.6,122.85,123.7,0.8,0.05,2.75,1.55,124.25,124.77,131.75,44.35,"2,42,28,685","3,02,29,71,896.20","1,08,031"
29-Dec-23,EQ,124,123.7,125.55,123.25,123.2,0.5,-0.3,2.3,0.6,123.7,124.13,131.75,44.35,"2,75,12,604","3,41,51,94,738.70","1,33,273"
28-Dec-23,EQ,124.9,123.2,125.5,120.6,127.05,-3.85,-1.7,4.9,1.9,123.2,123.19,131.75,44.35,"7,28,65,479","8,97,61,00,147.65","2,10,148"
27-Dec-23,EQ,125.7,127.05,127.6,125.55,125,2.05,1.35,2.05,0.2,126.85,126.64,131.75,44.35,"2,17,57,560","2,75,54,01,886.25","77,925"
26-Dec-23,EQ,128.5,125,128.7,124.3,128.5,-3.5,-3.5,4.4,0.45,124.5,126.3,131.75,44.35,"2,54,99,782","3,22,06,60,732.75","1,11,094"
22-Dec-23,EQ,130.55,128.5,131,125.3,127.35,1.15,-2.05,5.7,6.55,127.9,128.74,131.75,44.35,"6,31,13,800","8,12,51,01,537.65","1,87,775"
21-Dec-23,EQ,122.15,127.35,128.7,120.2,124.75,2.6,5.2,8.5,0.65,128.2,125.12,131.75,44.35,"5,23,26,124","6,54,71,04,160.25","1,98,566"
20-Dec-23,EQ,130.35,124.75,131,123.15,130.25,-5.5,-5.6,7.85,2.75,124.7,127.12,131.75,44.35,"4,90,06,056","6,22,98,31,025.45","1,78,995"
19-Dec-23,EQ,129,130.25,131.75,127.4,128.55,1.7,1.25,4.35,5.8,130.05,129.75,131.75,44.35,"6,41,17,314","8,31,93,78,944.85","1,88,926"
18-Dec-23,EQ,123.4,128.55,129.2,121.55,123.6,4.95,5.15,7.65,0.5,129,126.86,129.2,44.35,"8,95,53,155","11,36,11,46,553.40","2,94,353"
15-Dec-23,EQ,124.5,123.6,125,122.4,124.15,-0.55,-0.9,2.6,3.95,122.7,123.7,126.35,44.35,"3,95,42,770","4,89,14,30,431.80","2,42,310"
14-Dec-23,EQ,121,124.15,124.95,120.5,120,4.15,3.15,4.45,3.6,124.2,123.6,126.35,44.35,"7,41,78,495","9,16,80,96,218.85","2,26,862"
13-Dec-23,EQ,116.9,120,120.5,116.15,116.75,3.25,3.1,4.35,0.3,119.8,119.19,126.35,44.35,"4,80,92,329","5,73,19,00,208.15","1,15,252"
12-Dec-23,EQ,119,116.75,119.3,114.15,118.45,-1.7,-2.25,5.15,0.55,116.8,117.1,126.35,44.35,"4,08,00,538","4,77,77,33,821.00","1,39,070"
11-Dec-23,EQ,119.95,118.45,120.5,117.55,119.95,-1.5,-1.5,2.95,0.9,118.2,119.16,126.35,44.35,"3,23,72,287","3,85,75,28,093.20","1,15,976"
08-Dec-23,EQ,123,119.95,123.9,119.3,121.7,-1.75,-3.05,4.6,2.6,120.15,121.33,126.35,44.35,"4,42,13,196","5,36,43,09,593.70","1,32,835"
07-Dec-23,EQ,119.6,121.7,122.2,118.4,118.9,2.8,2.1,3.8,2.55,122,120.93,126.35,44.35,"5,24,83,562","6,34,70,93,587.45","1,44,827"
06-Dec-23,EQ,117.15,118.9,119.7,116.6,116.75,2.15,1.75,3.1,0.35,119.15,117.8,126.35,44.35,"4,81,71,753","5,67,45,26,366.25","1,05,148"
05-Dec-23,EQ,117.9,116.75,118.25,116.25,117.4,-0.65,-1.15,2,0.25,116.75,117.07,126.35,44.35,"5,74,83,305","6,72,98,28,880.10","1,43,348"
04-Dec-23,EQ,118.75,117.4,119,116.25,116.3,1.1,-1.35,2.75,0.35,117.7,117.08,126.35,44.35,"6,60,57,180","7,73,42,75,961.95","1,59,886"
01-Dec-23,EQ,118,116.3,118.35,115.1,118.55,-2.25,-1.7,3.25,1.9,116.25,116.63,126.35,44.35,"5,72,61,076","6,67,80,92,819.70","1,56,900"
30-Nov-23,EQ,118.8,118.55,120.7,116.15,116.6,1.95,-0.25,4.55,2.2,117.8,118.44,126.35,44.35,"22,52,08,168","26,67,32,88,047.30","3,24,255"
29-Nov-23,EQ,117,116.6,119.2,114,113.8,2.8,-0.4,5.2,2,117.7,117.13,126.35,44.35,"11,52,74,058","13,50,21,17,745.75","3,20,798"
28-Nov-23,EQ,114.9,113.8,116.9,113.5,113.25,0.55,-1.1,3.4,1.85,113.8,114.78,126.35,44.35,"6,19,63,724","7,11,21,14,151.75","1,69,089"
